Position [m]	Intensity	Int_Area	Int_Edge1	Int_Edge2	Position Sensor [m]	Temperature Sensor 1 [°C]	Temperature Sensor 2 [°C]
492.57	160.00	0.00	141.98	147.39	-0.00	46.25	45.16
492.63	160.00	0.00	142.28	147.73	-0.00	46.21	45.12
492.63	160.00	0.00	142.24	147.60	-0.00	46.17	45.09
492.70	160.00	0.00	142.07	147.40	-0.00	46.13	45.05
492.70	160.00	0.00	142.08	147.53	-0.00	46.09	45.02
492.77	160.00	0.00	142.12	147.52	-0.00	46.06	44.98
492.77	160.00	0.00	142.34	147.73	-0.00	46.01	44.94
492.84	160.00	0.00	142.07	147.52	-0.00	45.97	44.90
492.84	160.00	0.00	141.96	147.33	-0.00	45.93	44.86
492.91	160.00	0.00	142.12	147.51	0.02	45.89	44.83
492.91	160.00	0.00	141.98	147.34	0.28	45.85	44.78
492.98	160.00	0.00	142.26	147.74	0.61	45.81	44.75
492.98	160.00	0.00	142.14	147.60	0.96	45.78	44.71
493.05	160.00	0.00	142.17	147.57	1.31	45.74	44.67
493.05	160.00	0.00	142.03	147.51	1.65	45.70	44.64
493.11	160.00	0.00	142.20	147.60	2.00	45.65	44.59
493.11	160.00	0.00	142.22	147.62	2.35	45.60	44.55
493.18	160.00	0.00	142.18	147.48	2.69	45.55	44.50
493.18	160.00	0.00	142.15	147.57	3.04	45.50	44.46
493.25	160.00	0.00	141.95	147.33	3.46	45.45	44.41
493.25	160.00	0.00	142.22	147.61	3.80	45.41	44.37
493.32	160.00	0.00	142.38	147.73	4.15	45.36	44.32
493.32	160.00	0.00	142.31	147.61	4.50	45.30	44.27
493.39	160.00	0.00	142.10	147.44	4.84	45.24	44.21
493.39	160.00	0.00	142.10	147.43	5.19	45.18	44.16
493.46	160.00	0.00	142.12	147.42	5.54	45.14	44.12
493.46	160.00	0.00	142.39	147.80	5.89	45.11	44.09
493.53	160.00	0.00	142.14	147.51	6.23	45.07	44.06
493.53	160.00	0.00	142.33	147.68	6.58	45.03	44.02
493.59	160.00	0.00	142.06	147.51	6.93	45.00	43.98
493.59	160.00	0.00	142.28	147.72	7.27	44.96	43.95
493.66	160.00	0.00	142.39	147.74	7.62	44.92	43.91
493.66	160.00	0.00	142.38	147.70	7.97	44.88	43.86
493.73	160.00	0.00	142.32	147.67	8.31	44.83	43.83
493.73	160.00	0.00	142.10	147.42	8.66	44.80	43.79
493.80	160.00	0.00	142.18	147.53	9.01	44.78	43.76
493.80	160.00	0.00	142.40	147.79	9.35	44.74	43.73
493.87	160.00	0.00	142.27	147.72	9.70	44.71	43.69
493.87	160.00	0.00	142.37	147.77	10.05	44.68	43.66
493.94	160.00	0.00	142.12	147.51	10.40	44.65	43.63
493.94	160.00	0.00	142.06	147.41	10.74	44.63	43.60
494.01	160.00	0.00	142.32	147.69	11.09	44.61	43.58
494.01	160.00	0.00	142.12	147.53	11.44	44.59	43.56
494.07	160.00	0.00	142.49	147.84	11.78	44.58	43.54
494.07	160.00	0.00	142.26	147.62	12.13	44.56	43.53
494.14	160.00	0.00	142.43	147.82	12.48	44.56	43.51
494.14	160.00	0.00	141.92	147.33	0.21	44.55	43.51
494.21	160.00	0.00	142.10	147.58	0.56	44.55	43.50
494.21	160.00	0.00	142.16	147.47	0.90	44.56	43.50
494.28	160.00	0.00	142.31	147.64	1.25	44.56	43.50
494.28	160.00	0.00	142.38	147.83	1.60	44.56	43.50
494.35	160.00	0.00	142.29	147.76	1.94	44.58	43.50
494.35	160.00	0.00	142.19	147.55	2.29	44.58	43.51
494.42	160.00	0.00	142.17	147.53	2.64	44.58	43.51
