"Date Time" Tape_Tension_[N] Thickness_[x] Encoder_Pos_[m] 
"03.02.2021 09:23:41,458" -6,705607 7,936056 -0,000002 
"03.02.2021 09:23:41,582" -6,706424 7,936193 -0,000002 
"03.02.2021 09:23:41,708" -6,705551 7,936164 -0,000002 
"03.02.2021 09:23:41,832" -6,705468 7,936234 -0,000002 
"03.02.2021 09:23:41,957" -6,703963 7,936257 -0,000002 
"03.02.2021 09:23:42,082" -6,705050 7,936130 -0,000002 
"03.02.2021 09:23:42,208" -6,705106 7,936028 -0,000002 
"03.02.2021 09:23:42,332" -6,704158 7,936074 -0,000002 
"03.02.2021 09:23:42,458" -6,704641 7,936154 -0,000002 
"03.02.2021 09:23:42,583" -6,704558 7,936154 -0,000002 
"03.02.2021 09:23:42,707" -6,704706 7,936138 -0,000002 
"03.02.2021 09:23:42,833" -6,705171 7,936167 -0,000002 
"03.02.2021 09:23:42,958" -6,703629 7,936294 -0,000002 
"03.02.2021 09:23:43,082" -6,701679 7,936331 -0,000002 
"03.02.2021 09:23:43,208" -6,701744 7,936227 -0,000002 
"03.02.2021 09:23:43,333" -6,698568 7,936160 -0,000002 
"03.02.2021 09:23:43,458" -6,698949 7,936206 -0,000002 
"03.02.2021 09:23:43,582" -6,703648 7,936074 -0,000002 
"03.02.2021 09:23:43,708" -6,699487 7,936039 -0,000002 
"03.02.2021 09:23:43,833" -6,700472 7,935963 -0,000002 
"03.02.2021 09:23:43,958" -6,700546 7,935944 -0,000002 
"03.02.2021 09:23:44,083" -6,696748 7,936071 -0,000002 
"03.02.2021 09:23:44,207" -6,698958 7,936158 -0,000002 
"03.02.2021 09:23:44,333" -6,698828 7,936141 -0,000002 
"03.02.2021 09:23:44,458" -6,698828 7,936128 -0,000002 
"03.02.2021 09:23:44,583" -6,700304 7,936063 -0,000002 
"03.02.2021 09:23:44,707" -6,698707 7,936039 -0,000002 
"03.02.2021 09:23:44,833" -6,697444 7,935970 -0,000002 
"03.02.2021 09:23:44,957" -6,697973 7,935993 -0,000002 
"03.02.2021 09:23:45,083" -6,700407 7,936028 -0,000002 
"03.02.2021 09:23:45,208" -6,343405 7,936037 0,000060 
"03.02.2021 09:23:45,333" -5,464821 7,936006 0,000057 
"03.02.2021 09:23:45,456" -5,407271 7,935894 0,000026 
"03.02.2021 09:23:45,583" -5,348365 7,935800 -0,001412 
"03.02.2021 09:23:45,707" -5,386236 7,935839 -0,003557 
"03.02.2021 09:23:45,831" -5,374386 7,935989 -0,006684 
"03.02.2021 09:23:45,957" -5,376457 7,935941 -0,010920 
"03.02.2021 09:23:46,082" -5,351773 7,935970 -0,016294 
"03.02.2021 09:23:46,207" -5,453853 7,935985 -0,023004 
"03.02.2021 09:23:46,331" -5,509239 7,936136 -0,030974 
"03.02.2021 09:23:46,457" -5,507076 7,936084 -0,040649 
"03.02.2021 09:23:46,581" -5,492059 7,936037 -0,051784 
"03.02.2021 09:23:46,707" -5,485168 7,936022 -0,064658 
"03.02.2021 09:23:46,831" -5,452367 7,936167 -0,078789 
"03.02.2021 09:23:46,957" -5,423263 7,936203 -0,094274 
"03.02.2021 09:23:47,081" -5,402423 7,936145 -0,110611 
"03.02.2021 09:23:47,207" -5,395467 7,936138 -0,128139 
"03.02.2021 09:23:47,331" -5,475668 7,936110 -0,146214 
"03.02.2021 09:23:47,457" -5,445059 7,936052 -0,165384 
"03.02.2021 09:23:47,581" -4,494168 7,936032 -0,184826 
"03.02.2021 09:23:47,707" -4,368147 7,935996 -0,205213 
"03.02.2021 09:23:47,831" -4,614199 7,935954 -0,225853 
"03.02.2021 09:23:47,957" -4,971369 7,936026 -0,247221 
"03.02.2021 09:23:48,081" -5,329513 7,935933 -0,268601 
"03.02.2021 09:23:48,207" -5,660140 7,936024 -0,290613 
"03.02.2021 09:23:48,331" -5,724488 7,936041 -0,312605 
"03.02.2021 09:23:48,457" -5,707967 7,936043 -0,335319 
"03.02.2021 09:23:48,581" -5,718052 7,936034 -0,357702 
"03.02.2021 09:23:48,706" -5,543665 7,936102 -0,380493 
"03.02.2021 09:23:48,831" -5,581342 7,936061 -0,403443 
"03.02.2021 09:23:48,957" -5,536682 7,936071 -0,426712 
"03.02.2021 09:23:49,081" -5,546535 7,936030 -0,449781 
"03.02.2021 09:23:49,206" -5,528918 7,936127 -0,473128 
"03.02.2021 09:23:49,331" -5,525111 7,936100 -0,496646 
"03.02.2021 09:23:49,456" -5,393703 7,936145 -0,520255 
"03.02.2021 09:23:49,581" -5,359323 7,936110 -0,543898 
"03.02.2021 09:23:49,707" -5,468601 7,936179 -0,567779 
"03.02.2021 09:23:49,831" -5,455785 7,936097 -0,591378 
"03.02.2021 09:23:49,956" -5,477079 7,936110 -0,615123 
"03.02.2021 09:23:50,081" -5,371879 7,936058 -0,639028 
"03.02.2021 09:23:50,207" -5,305432 7,936050 -0,663240 
"03.02.2021 09:23:50,331" -5,391028 7,935954 -0,687115 
"03.02.2021 09:23:50,456" -5,442328 7,935891 -0,711105 
"03.02.2021 09:23:50,582" -5,461403 7,935970 -0,735250 
"03.02.2021 09:23:50,706" -5,495606 7,935983 -0,759028 
"03.02.2021 09:23:50,831" -5,455887 7,935918 -0,783086 
"03.02.2021 09:23:50,957" -5,467300 7,935978 -0,807334 
"03.02.2021 09:23:51,081" -5,528444 7,935963 -0,831265 
"03.02.2021 09:23:51,206" -5,509676 7,935969 -0,855399 
"03.02.2021 09:23:51,331" -5,511236 7,936082 -0,879628 
"03.02.2021 09:23:51,457" -5,499284 7,936080 -0,904045 
"03.02.2021 09:23:51,582" -5,481351 7,935898 -0,928261 
"03.02.2021 09:23:51,707" -5,519557 7,935909 -0,952415 
"03.02.2021 09:23:51,832" -5,508784 7,935987 -0,976565 
"03.02.2021 09:23:51,957" -5,500658 7,935889 -1,000681 
"03.02.2021 09:23:52,082" -5,510112 7,935946 -1,024890 
"03.02.2021 09:23:52,206" -5,509193 7,936034 -1,048861 
"03.02.2021 09:23:52,332" -5,505710 7,936004 -1,073230 
"03.02.2021 09:23:52,456" -5,512035 7,935974 -1,097174 
"03.02.2021 09:23:52,582" -5,504048 7,936011 -1,121586 
"03.02.2021 09:23:52,706" -5,498764 7,936073 -1,145520 
"03.02.2021 09:23:52,831" -5,534128 7,936028 -1,169762 
"03.02.2021 09:23:52,957" -5,541632 7,935946 -1,194265 
"03.02.2021 09:23:53,082" -5,506778 7,935928 -1,218535 
"03.02.2021 09:23:53,208" -5,531899 7,935952 -1,242736 
"03.02.2021 09:23:53,332" -5,542402 7,935892 -1,266718 
"03.02.2021 09:23:53,457" -5,508069 7,935848 -1,290967 
"03.02.2021 09:23:53,582" -5,523978 7,935863 -1,315154 
"03.02.2021 09:23:53,707" -5,553370 7,935872 -1,339172 
"03.02.2021 09:23:53,833" -5,560957 7,936017 -1,362951 
"03.02.2021 09:23:53,957" -5,634341 7,935969 -1,385727 
"03.02.2021 09:23:54,083" -5,635010 7,935965 -1,408054 
"03.02.2021 09:23:54,207" -5,595383 7,935954 -1,428943 
"03.02.2021 09:23:54,332" -5,590833 7,936056 -1,448850 
"03.02.2021 09:23:54,457" -5,632614 7,936078 -1,467536 
"03.02.2021 09:23:54,583" -5,625993 7,936015 -1,485002 
"03.02.2021 09:23:54,707" -5,627126 7,935935 -1,500666 
"03.02.2021 09:23:54,833" -5,626086 7,935891 -1,515190 
"03.02.2021 09:23:54,958" -5,670941 7,935885 -1,527838 
"03.02.2021 09:23:55,083" -5,661143 7,936050 -1,538785 
"03.02.2021 09:23:55,208" -5,676643 7,936050 -1,547975 
"03.02.2021 09:23:55,332" -5,657781 7,935924 -1,555399 
"03.02.2021 09:23:55,458" -5,674934 7,935924 -1,561141 
"03.02.2021 09:23:55,583" -5,669167 7,935972 -1,564858 
"03.02.2021 09:23:55,707" -5,676763 7,935926 -1,566796 
"03.02.2021 09:23:55,832" -5,646247 7,935900 -1,566939 
"03.02.2021 09:23:55,957" -5,738511 7,935850 -1,566117 
"03.02.2021 09:23:56,082" -5,745597 7,935937 -1,562155 
"03.02.2021 09:23:56,208" -5,779549 7,935954 -1,556163 
"03.02.2021 09:23:56,332" -5,750584 7,935891 -1,548312 
"03.02.2021 09:23:56,457" -5,738604 7,935959 -1,538448 
"03.02.2021 09:23:56,583" -5,717969 7,935980 -1,526652 
"03.02.2021 09:23:56,708" -5,737350 7,935933 -1,513352 
"03.02.2021 09:23:56,832" -5,718006 7,935879 -1,498902 
"03.02.2021 09:23:56,957" -5,708422 7,935985 -1,483174 
"03.02.2021 09:23:57,083" -5,717077 7,936084 -1,466247 
"03.02.2021 09:23:57,208" -5,685196 7,936058 -1,448547 
"03.02.2021 09:23:57,332" -5,730413 7,936071 -1,430308 
"03.02.2021 09:23:57,457" -5,685976 7,935996 -1,411178 
"03.02.2021 09:23:57,582" -5,733013 7,935965 -1,391410 
"03.02.2021 09:23:57,708" -5,708283 7,935972 -1,370953 
"03.02.2021 09:23:57,832" -5,692402 7,936128 -1,350243 
"03.02.2021 09:23:57,958" -5,704299 7,936151 -1,328784 
"03.02.2021 09:23:58,082" -5,707354 7,936108 -1,307364 
"03.02.2021 09:23:58,208" -5,676708 7,936145 -1,285244 
"03.02.2021 09:23:58,333" -5,701290 7,936221 -1,262962 
"03.02.2021 09:23:58,458" -5,700203 7,936201 -1,240474 
"03.02.2021 09:23:58,582" -5,726290 7,936210 -1,217892 
"03.02.2021 09:23:58,707" -5,702534 7,936156 -1,194990 
"03.02.2021 09:23:58,833" -5,679912 7,936281 -1,171792 
"03.02.2021 09:23:58,958" -5,674609 7,936171 -1,148637 
"03.02.2021 09:23:59,082" -5,674813 7,936104 -1,125477 
"03.02.2021 09:23:59,207" -5,699117 7,936130 -1,101975 
"03.02.2021 09:23:59,332" -5,658357 7,936208 -1,078381 
"03.02.2021 09:23:59,458" -5,671795 7,936193 -1,054629 
"03.02.2021 09:23:59,582" -5,661867 7,936255 -1,031088 
"03.02.2021 09:23:59,708" -5,703834 7,936223 -1,007119 
"03.02.2021 09:23:59,832" -5,655859 7,936242 -0,983517 
"03.02.2021 09:23:59,957" -5,681788 7,936130 -0,959614 
"03.02.2021 09:24:00,081" -5,646489 7,935985 -0,935852 
"03.02.2021 09:24:00,207" -5,663335 7,935972 -0,911651 
"03.02.2021 09:24:00,332" -5,646721 7,935970 -0,887724 
"03.02.2021 09:24:00,456" -5,672993 7,936017 -0,863900 
"03.02.2021 09:24:00,581" -5,680042 7,936035 -0,839857 
"03.02.2021 09:24:00,707" -5,676318 7,936041 -0,815617 
"03.02.2021 09:24:00,831" -5,677924 7,936056 -0,791785 
"03.02.2021 09:24:00,957" -5,672213 7,936060 -0,767497 
"03.02.2021 09:24:01,082" -5,650770 7,936087 -0,743391 
"03.02.2021 09:24:01,207" -5,640851 7,936177 -0,719254 
"03.02.2021 09:24:01,332" -5,631760 7,936136 -0,695149 
"03.02.2021 09:24:01,457" -5,620643 7,936177 -0,670993 
"03.02.2021 09:24:01,582" -5,659769 7,936158 -0,646811 
"03.02.2021 09:24:01,706" -5,664384 7,936173 -0,622874 
"03.02.2021 09:24:01,832" -5,624869 7,936067 -0,598511 
"03.02.2021 09:24:01,957" -5,623337 7,936002 -0,574348 
"03.02.2021 09:24:02,081" -5,649182 7,935982 -0,550369 
"03.02.2021 09:24:02,207" -5,611329 7,936073 -0,525923 
"03.02.2021 09:24:02,332" -5,611032 7,936110 -0,501696 
"03.02.2021 09:24:02,456" -5,638985 7,936069 -0,477699 
"03.02.2021 09:24:02,582" -5,642291 7,936058 -0,453226 
"03.02.2021 09:24:02,707" -5,620031 7,936084 -0,429008 
"03.02.2021 09:24:02,832" -5,647659 7,936074 -0,404758 
"03.02.2021 09:24:02,957" -5,638474 7,936063 -0,380580 
"03.02.2021 09:24:03,081" -5,636867 7,936052 -0,356505 
"03.02.2021 09:24:03,207" -5,638372 7,936080 -0,332088 
"03.02.2021 09:24:03,331" -5,602748 7,936024 -0,307972 
"03.02.2021 09:24:03,457" -5,626531 7,936151 -0,283462 
"03.02.2021 09:24:03,581" -5,631453 7,936097 -0,259391 
"03.02.2021 09:24:03,707" -5,620328 7,936022 -0,235003 
"03.02.2021 09:24:03,831" -5,621089 7,936186 -0,210985 
"03.02.2021 09:24:03,956" -5,629317 7,936032 -0,186705 
"03.02.2021 09:24:04,082" -5,625045 7,936108 -0,162166 
"03.02.2021 09:24:04,206" -5,628333 7,936188 -0,138041 
