Position [m]	Sabre [mm/m]	Band width [mm]
0.00	0.31	12.02
0.02	0.31	12.02
0.05	0.31	12.02
0.07	0.31	12.02
0.10	0.31	12.02
0.12	0.31	12.02
0.15	0.31	12.02
0.17	0.31	12.02
0.19	0.31	12.02
0.22	0.31	12.02
0.24	0.31	12.02
0.27	0.31	12.02
0.29	0.31	12.02
0.32	0.31	12.02
0.34	0.31	12.02
0.36	0.31	12.02
0.39	0.31	12.02
0.41	0.31	12.02
0.44	0.31	12.02
0.46	0.31	12.02
0.49	0.31	12.02
0.51	0.31	12.02
0.53	0.31	12.02
0.56	0.31	12.02
0.58	0.31	12.02
0.61	0.31	12.02
0.63	0.31	12.02
0.66	0.31	12.02
0.68	0.31	12.02
0.70	0.31	12.02
0.73	0.31	12.02
0.75	0.31	12.02
0.78	0.31	12.02
0.80	0.31	12.02
0.83	0.31	12.02
0.85	0.31	12.02
0.87	0.31	12.01
0.90	0.31	12.02
0.92	0.31	12.02
0.95	0.31	12.02
0.97	0.31	12.01
1.00	0.31	12.02
1.02	0.31	12.02
1.04	0.31	12.02
1.07	0.31	12.01
1.09	0.31	12.01
1.12	0.31	12.01
1.14	0.31	12.01
1.17	0.31	12.01
1.19	0.31	12.01
1.21	0.31	12.01
1.24	0.31	12.01
1.26	0.31	12.01
1.29	0.31	12.01
1.31	0.31	12.01
1.34	0.31	12.01
1.36	0.31	12.01
1.38	0.31	12.01
1.41	0.31	12.01
1.43	0.31	12.01
1.46	0.31	12.01
1.48	0.32	12.01
1.51	0.37	12.02
1.53	0.40	12.01
1.55	0.38	12.01
1.58	0.38	12.01
1.60	0.40	12.01
1.63	0.39	12.01
1.65	0.39	12.01
1.68	0.38	12.01
1.70	0.38	12.01
1.72	0.37	12.02
1.75	0.38	12.01
1.77	0.38	12.01
1.80	0.37	12.02
1.82	0.38	12.02
1.85	0.37	12.02
1.87	0.37	12.02
1.89	0.37	12.02
1.92	0.38	12.02
1.94	0.42	12.02
1.97	0.43	12.01
1.99	0.43	12.01
2.02	0.40	12.01
2.04	0.36	12.01
2.06	0.34	12.01
2.09	0.32	12.01
2.11	0.32	12.01
2.14	0.33	12.01
2.16	0.32	12.01
2.19	0.33	12.01
2.21	0.32	12.02
2.23	0.32	12.01
2.26	0.30	12.01
2.28	0.30	12.01
2.31	0.32	12.02
2.33	0.32	12.01
2.36	0.34	12.01
2.38	0.31	12.02
2.40	0.29	12.02
2.43	0.28	12.01
2.45	0.28	12.01
2.48	0.30	12.02
2.50	0.29	12.02
2.53	0.27	12.01
2.55	0.25	12.01
2.57	0.23	12.01
2.60	0.25	12.01
2.62	0.25	12.01
2.65	0.25	12.01
2.67	0.25	12.01
2.70	0.24	12.01
2.72	0.25	12.01
2.74	0.24	12.02
2.77	0.24	12.02
2.79	0.24	12.03
2.82	0.23	12.02
2.84		
2.87		
2.89	0.27	12.02
2.92	0.26	12.01
2.94	0.25	12.01
2.96	0.25	12.01
2.99	0.24	12.02
3.01	0.26	12.01
3.04	0.25	12.01
3.06	0.26	12.01
3.09	0.27	12.01
3.11	0.25	12.01
3.13	0.27	12.01
3.16	0.27	12.01
3.18	0.26	12.01
3.21	0.26	12.01
3.23	0.26	12.01
3.26	0.29	12.02
3.28	0.30	12.01
3.30	0.29	12.01
3.33	0.27	12.01
3.35	0.28	12.01
3.38	0.29	12.02
3.40	0.29	12.01
3.43	0.28	12.01
3.45	0.27	12.01
3.47	0.28	12.01
3.50	0.29	12.02
3.52	0.29	12.02
3.55	0.28	12.01
3.57	0.27	12.01
3.60	0.28	12.01
3.62	0.28	12.01
3.64	0.28	12.01
3.67	0.27	12.01
3.69	0.26	12.02
3.72	0.27	12.01
3.74	0.27	12.01
3.77	0.27	12.01
3.79	0.27	12.01
3.81	0.26	12.01
3.84	0.25	12.01
3.86	0.26	12.01
3.89	0.25	12.02
3.91	0.25	12.01
3.94	0.25	12.01
3.96	0.24	12.01
3.98	0.25	12.01
4.01	0.25	12.01
4.03	0.24	12.01
4.06	0.24	12.02
4.08	0.24	12.02
4.11	0.24	12.01
4.13	0.24	12.02
4.15	0.24	12.02
4.18	0.24	12.02
4.20	0.23	12.01
4.23	0.24	12.02
4.25	0.26	12.02
4.28		
4.30		
4.32	0.23	12.02
4.35		
4.37		
4.40	0.22	12.02
4.42	0.22	12.02
4.45	0.24	12.02
4.47	0.25	12.01
4.49	0.24	12.02
4.52	0.23	12.01
4.54	0.23	12.01
4.57	0.23	12.01
4.59	0.24	12.02
4.62	0.25	12.01
4.64	0.27	12.01
4.66	0.26	12.01
4.69	0.27	12.01
4.71	0.29	12.02
4.74	0.29	12.02
4.76	0.30	12.02
4.79	0.29	12.02
4.81	0.31	12.02
4.83	0.32	12.01
4.86	0.31	12.02
4.88	0.31	12.02
4.91	0.31	12.02
4.93	0.31	12.02
4.96	0.32	12.01
4.98	0.32	12.01
5.00	0.32	12.01
5.03	0.34	12.02
5.05	0.34	12.01
5.08	0.34	12.02
5.10	0.34	12.02
5.13	0.33	12.01
5.15	0.34	12.01
5.17	0.35	12.01
5.20	0.36	12.02
5.22	0.36	12.02
5.25	0.35	12.01
5.27	0.35	12.02
5.30	0.36	12.02
5.32	0.37	12.01
5.34	0.37	12.01
5.37	0.38	12.01
5.39	0.39	12.01
5.42	0.39	12.02
5.44	0.39	12.02
5.47	0.39	12.01
5.49	0.39	12.01
5.51	0.39	12.02
5.54	0.40	12.01
5.56	0.41	12.02
5.59	0.42	12.01
5.61	0.42	12.02
5.64	0.40	12.01
5.66	0.41	12.01
5.68	0.41	12.01
5.71	0.43	12.01
5.73	0.43	12.01
5.76	0.44	12.01
5.78	0.44	12.01
5.81	0.43	12.01
5.83	0.44	12.02
5.85	0.44	12.01
5.88	0.44	12.02
5.90	0.44	12.02
5.93	0.45	12.01
5.95	0.46	12.02
5.98	0.46	12.01
6.00	0.43	12.01
6.02	0.43	12.02
6.05	0.43	12.02
6.07	0.43	12.01
6.10	0.45	12.01
6.12	0.45	12.01
6.15	0.45	12.01
6.17	0.43	12.01
6.19	0.43	12.01
6.22	0.45	12.01
6.24	0.44	12.02
6.27	0.43	12.02
6.29	0.43	12.02
6.32	0.45	12.01
6.34	0.46	12.02
6.36	0.45	12.01
6.39	0.42	12.02
6.41	0.42	12.02
6.44	0.43	12.01
6.46	0.44	12.02
6.49	0.43	12.01
6.51	0.43	12.02
6.53	0.42	12.02
6.56	0.43	12.02
6.58	0.43	12.01
6.61	0.43	12.01
6.63	0.42	12.02
6.66	0.40	12.01
6.68	0.42	12.01
6.70	0.44	12.02
6.73	0.43	12.01
6.75	0.40	12.01
6.78	0.40	12.01
6.80	0.41	12.02
6.83	0.42	12.02
6.85	0.42	12.02
6.87	0.40	12.01
6.90	0.40	12.01
6.92	0.40	12.01
