Position [m]	Sabre [mm/m]	Band width [mm]
0.00	-0.05	12.01
0.00	-0.03	12.01
0.00	-0.02	12.01
0.00	-0.03	12.01
0.00	-0.04	12.01
0.00	-0.03	12.01
0.00	-0.02	12.01
0.00	-0.05	12.01
0.00	-0.03	12.01
0.00	-0.02	12.01
0.00	-0.04	12.01
0.00	-0.04	12.01
0.00	-0.02	12.01
0.00	-0.03	12.01
0.00	-0.04	12.01
0.00	-0.03	12.01
0.00	-0.03	12.01
0.00	-0.04	12.01
0.00	-0.03	12.01
0.00	-0.02	12.01
0.00	-0.04	12.01
0.00	-0.04	12.01
0.00	-0.01	12.01
0.00	-0.04	12.01
0.00	-0.04	12.01
0.00	-0.03	12.01
0.00	-0.03	12.01
0.00	-0.04	12.01
0.00	-0.03	12.01
0.00	-0.02	12.01
0.00	-0.04	12.01
0.00	-0.04	12.01
0.00	-0.02	12.01
0.00	-0.03	12.01
0.00	-0.04	12.01
0.00	-0.02	12.01
0.00	-0.03	12.01
0.00	-0.04	12.01
0.00	-0.03	12.01
0.00	-0.02	12.01
0.00	-0.03	12.01
0.00	-0.04	12.01
0.00	-0.02	12.01
0.00	-0.03	12.01
0.00	-0.04	12.00
0.00	-0.02	12.01
0.00	-0.03	12.01
0.00	-0.04	12.01
0.00	-0.03	12.01
0.00	-0.03	12.01
0.00	-0.03	12.01
0.00	-0.04	12.01
0.00	-0.02	12.01
0.00	-0.03	12.01
0.00	-0.04	12.01
0.00	-0.02	12.01
0.00	-0.03	12.01
0.00	-0.04	12.01
0.00	-0.03	12.01
0.00	-0.03	12.01
0.00	-0.03	12.01
0.00	-0.04	12.01
0.00	-0.02	12.01
0.00	-0.03	12.01
0.00	-0.04	12.01
0.00	-0.03	12.01
0.00	-0.03	12.01
0.00	-0.04	12.01
0.00	-0.03	12.01
0.00	-0.03	12.01
0.00	-0.04	12.01
0.00	-0.03	12.01
0.00	-0.03	12.01
0.00	-0.03	12.01
0.00	-0.04	12.01
0.00	-0.03	12.01
0.00	-0.03	12.01
0.00	-0.04	12.01
0.00	-0.03	12.01
0.00	-0.03	12.01
0.00	-0.04	12.01
0.00	-0.03	12.01
0.00	-0.03	12.01
0.00	-0.03	12.01
0.00	-0.04	12.01
0.00	-0.03	12.01
0.00	-0.03	12.01
0.00	-0.04	12.01
0.00	-0.03	12.01
0.00	-0.02	12.01
0.00	-0.04	12.01
0.00	-0.03	12.01
0.00	-0.03	12.01
0.00	-0.03	12.01
0.00	-0.04	12.01
0.00	-0.03	12.01
0.00	-0.03	12.01
